Name,SUBDIVISION,YEAR,ANNUAL,Jan-Feb,Mar-May,June-September,Oct-Dec
ROW1,Andaman & Nicobar Islands,1901,3373.2,136.3,560.3,1696.3,980.3
ROW2,Andaman & Nicobar Islands,1902,3520.7,159.8,458.3,2185.9,716.7
ROW3,Andaman & Nicobar Islands,1903,2957.4,156.7,236.1,1874,690.6
ROW4,Andaman & Nicobar Islands,1904,3079.6,24.1,506.9,1977.6,571
ROW5,Andaman & Nicobar Islands,1905,2566.7,1.3,309.7,1624.9,630.8
ROW6,Andaman & Nicobar Islands,1906,2534.4,36.6,556.1,1465.8,475.9
ROW7,Andaman & Nicobar Islands,1907,3347.9,110.7,751.2,1327.1,1158.9
ROW8,Andaman & Nicobar Islands,1908,3576.4,106,591,2303.7,575.7
ROW9,Andaman & Nicobar Islands,1910,2899.4,49.3,520.1,1701,629
ROW10,Andaman & Nicobar Islands,1911,2687.2,8.4,449.8,1553.6,675.4
ROW11,Andaman & Nicobar Islands,1912,2960.5,584.5,162.6,1775.2,438.2
ROW12,Andaman & Nicobar Islands,1913,2365.8,85.3,194.5,1596.7,489.3
ROW13,Andaman & Nicobar Islands,1914,2957.8,0,336.5,2007.4,613.9
ROW14,Andaman & Nicobar Islands,1915,2741.3,101.7,244.4,1350.7,1044.5
ROW15,Andaman & Nicobar Islands,1916,2937.5,0,487.9,1753.6,696
ROW16,Andaman & Nicobar Islands,1917,2612.4,11.6,412.4,1605.1,583.3
ROW17,Andaman & Nicobar Islands,1918,3275,84.3,751.4,1670.4,768.9
ROW18,Andaman & Nicobar Islands,1919,2352.1,28.2,319.4,1219.5,785
ROW19,Andaman & Nicobar Islands,1920,2943.2,129.7,253.5,1814.1,745.9
ROW20,Andaman & Nicobar Islands,1921,2606.4,16.3,388.7,1681,520.4
ROW21,Andaman & Nicobar Islands,1922,3554.2,279.6,628.4,1751,895.2
ROW22,Andaman & Nicobar Islands,1923,3079.595503,79.5,412.1955035,2188,399.9
ROW23,Andaman & Nicobar Islands,1924,2349.634858,28.7,295.7,1296.6,728.6348576
ROW24,Andaman & Nicobar Islands,1925,2480.5,36.6,341.2,1385.7,717
ROW25,Andaman & Nicobar Islands,1926,3282.2,122.1,198.9,1808.3,1152.9
ROW26,Andaman & Nicobar Islands,1927,2442.9,20.5,630.5,1124.8,667.1
ROW27,Andaman & Nicobar Islands,1928,2998.3,118.5,709.5,1612.8,557.5
ROW28,Andaman & Nicobar Islands,1929,2926.6,192.6,515.6,1540.4,678
ROW29,Andaman & Nicobar Islands,1930,3075.1,192.8,373.6,1975.4,533.3
ROW30,Andaman & Nicobar Islands,1931,2357.7,25.3,210.4,1548.2,573.8
ROW31,Andaman & Nicobar Islands,1932,1771.225759,5.3,548,1064.185504,153.7402553
ROW32,Andaman & Nicobar Islands,1933,2987.5,16.2,431.9,1973.9,565.5
ROW33,Andaman & Nicobar Islands,1934,3722.8,180.2,200.3,2717.9,624.4
ROW34,Andaman & Nicobar Islands,1935,3154,6.6,860.9,1733.3,553.2
ROW35,Andaman & Nicobar Islands,1936,3081.781712,31.8,353.8817117,2109.8,586.3
ROW36,Andaman & Nicobar Islands,1937,3591.1,32.3,442.5,1863.8,1252.5
ROW37,Andaman & Nicobar Islands,1938,3264.4,70.6,521,1930.6,742.2
ROW38,Andaman & Nicobar Islands,1939,2782.5,55.6,573.9,1591.9,561.1
ROW39,Andaman & Nicobar Islands,1940,3007.5,3.3,380.1,1970.2,653.9
ROW40,Andaman & Nicobar Islands,1941,2898.2,12.8,329.7,1627.4,928.3
ROW41,Andaman & Nicobar Islands,1942,1420.649485,46.6,156.1237257,1064.185504,153.7402553
ROW42,Andaman & Nicobar Islands,1946,2791.6,88,465.4,1570.6,667.6
ROW43,Andaman & Nicobar Islands,1947,3092.111863,136.2,397.2,1946.611863,612.1
ROW44,Andaman & Nicobar Islands,1949,3489.6,56.4,572.3,2433.2,427.7
ROW45,Andaman & Nicobar Islands,1950,2422.2,0.8,359.7,1578.4,483.3
ROW46,Andaman & Nicobar Islands,1951,3275.1,89.9,304.4,1747.4,1133.4
ROW47,Andaman & Nicobar Islands,1952,3079.9,0.8,562,1824.8,692.3
ROW48,Andaman & Nicobar Islands,1953,2722,121.3,420.6,1627.2,552.9
ROW49,Andaman & Nicobar Islands,1954,3449,85.9,487,2419.4,456.7
ROW50,Andaman & Nicobar Islands,1955,3349.6,85.5,742.3,1648.2,873.6
ROW51,Andaman & Nicobar Islands,1956,3079.9,126.4,655.9,1604.3,693.3
ROW52,Andaman & Nicobar Islands,1957,2507.2,47.3,166,1833.7,460.2
ROW53,Andaman & Nicobar Islands,1958,2807.4,37.2,410.1,1710.4,649.7
ROW54,Andaman & Nicobar Islands,1959,3343.4,11.9,356.1,2271.7,703.7
ROW55,Andaman & Nicobar Islands,1960,3025.1,176.6,601,1563,684.5
ROW56,Andaman & Nicobar Islands,1961,3938.2,181.5,1094.4,1857.3,805
ROW57,Andaman & Nicobar Islands,1962,2959.7,167.3,374.1,1671.9,746.4
ROW58,Andaman & Nicobar Islands,1963,2981.7,106.7,336.8,1953.5,584.7
ROW59,Andaman & Nicobar Islands,1964,3054.8,87.4,551.8,1745.9,669.7
ROW60,Andaman & Nicobar Islands,1965,3163.9,42.2,368.6,1774.3,978.8
ROW61,Andaman & Nicobar Islands,1966,2701.2,84,427.6,1372,817.6
ROW62,Andaman & Nicobar Islands,1967,3216.6,186.2,609.8,1796.4,624.2
ROW63,Andaman & Nicobar Islands,1968,2762.8,23.4,383.3,1803.3,552.8
ROW64,Andaman & Nicobar Islands,1969,2619.2,171,352.7,1539.2,556.3
ROW65,Andaman & Nicobar Islands,1970,3370.9,106.2,488.7,1738.3,1037.7
ROW66,Andaman & Nicobar Islands,1971,2998.7,74.3,471,1613.8,839.6
ROW67,Andaman & Nicobar Islands,1972,3323.1,15.4,606,1844,857.7
ROW68,Andaman & Nicobar Islands,1973,2991,38.4,478.7,1587.8,886.1
ROW69,Andaman & Nicobar Islands,1974,2962.1,66.1,671.9,1378.7,845.4
ROW70,Andaman & Nicobar Islands,1975,3085.6,304.4,395.1,1589.1,797
ROW71,Andaman & Nicobar Islands,1976,3276,30.6,713.6,1698.2,833.6
ROW72,Andaman & Nicobar Islands,1977,2388.2,122.9,288.3,1493,484
ROW73,Andaman & Nicobar Islands,1978,2712.4,138.9,425.9,1775.9,371.7
ROW74,Andaman & Nicobar Islands,1979,1849.3,44.9,215,1242.5,346.9
ROW75,Andaman & Nicobar Islands,1980,3625.3,6.3,776.4,1946.2,896.4
ROW76,Andaman & Nicobar Islands,1981,3074.7,38.9,366.6,1908,761.2
ROW77,Andaman & Nicobar Islands,1982,2384.5,11.6,333.3,1575.8,463.8
ROW78,Andaman & Nicobar Islands,1983,2792.5,22.1,253,1892.5,624.9
ROW79,Andaman & Nicobar Islands,1984,2820.3,243.2,345.2,1280.7,951.2
ROW80,Andaman & Nicobar Islands,1985,2630.8,31.2,357.2,1557,685.4
ROW81,Andaman & Nicobar Islands,1986,2187.9,15.4,312.3,1473.6,386.6
ROW82,Andaman & Nicobar Islands,1987,2763.9,107.6,201,1434.4,1020.9
ROW83,Andaman & Nicobar Islands,1988,3323.1,50.1,538.2,1810.5,924.3
ROW84,Andaman & Nicobar Islands,1989,2533.7,68.8,490,1424.1,550.8
ROW85,Andaman & Nicobar Islands,1990,2183.2,13.6,536.7,1107.9,525
ROW86,Andaman & Nicobar Islands,1991,2535.6,17.9,352.2,1689.3,476.2
ROW87,Andaman & Nicobar Islands,1992,2098.6,86.8,246.8,1436.2,328.8
ROW88,Andaman & Nicobar Islands,1993,2237.4,14.9,355,1312.5,555
ROW89,Andaman & Nicobar Islands,1994,3263.1,42.7,687.2,2191.6,341.6
ROW90,Andaman & Nicobar Islands,1995,3115.5,64.3,348,1934,769.2
ROW91,Andaman & Nicobar Islands,1996,2996.9,57,424.1,1764.3,751.5
ROW92,Andaman & Nicobar Islands,1997,2755.1,9.5,296.9,1988.8,459.9
ROW93,Andaman & Nicobar Islands,1998,2846.4,0.9,348.9,1561.2,935.4
ROW94,Andaman & Nicobar Islands,1999,2699.7,91.4,542.2,1358,708.1
ROW95,Andaman & Nicobar Islands,2000,2763.1,112,812.2,1244.2,594.7
ROW96,Andaman & Nicobar Islands,2001,3080.8,104.7,878.7,1515.4,582
ROW97,Andaman & Nicobar Islands,2002,2620.1,10.6,478.4,1525.5,605.6
ROW98,Andaman & Nicobar Islands,2003,2355.7,52.2,464.9,1406.1,432.5
ROW99,Andaman & Nicobar Islands,2004,2460,90.4,583.2,1392.2,394.2
ROW100,Andaman & Nicobar Islands,2005,2954.5,0,376.7,1700.3,877.5
ROW101,Andaman & Nicobar Islands,2006,2404.7,30.7,534,1314.8,525.2
ROW102,Andaman & Nicobar Islands,2007,2748.2,6.5,429.6,1793.2,518.9
ROW103,Andaman & Nicobar Islands,2008,3374.9,77.6,877.4,1783.1,636.8
ROW104,Andaman & Nicobar Islands,2009,2538.6,30.8,493.8,1627,387
ROW105,Andaman & Nicobar Islands,2010,3157.1,109.7,332.2,1797.9,917.3
ROW106,Andaman & Nicobar Islands,2011,3828,350.7,710.7,2165,601.6
ROW107,Andaman & Nicobar Islands,2012,3497.6,165.5,620.6,2014,697.5
